State,District,Date,Year,Month,Avg_rainfall,Agency_name
Uttar Pradesh,Agra,2025-01-17,2025,01,0.1139847949,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-17,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-18,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-20,2025,02,0.3643927194,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-21,2025,02,0.2888219581,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-24,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-26,2025,02,0.1409316921,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-27,2025,02,0.0004396833,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-01,2025,03,-4.9811e-06,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-03,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-04,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-07,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-20,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-06,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-11,2025,04,0.2791372179,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-17,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-18,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-25,2025,04,3.6292e-06,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-09,2025,05,0.5829665592,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-05,2025,06,0.2665887879,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-07,2025,06,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-08,2025,06,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-14,2025,06,1.7947185726,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-18,2025,06,15.7391499204,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-20,2025,06,16.0232538164,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-03,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-08,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-10,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-11,2025,01,0.9305744215,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-16,2025,01,4.9799244152,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-27,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-28,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-04,2025,02,0.7416180871,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-10,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-13,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-27,2025,02,0.0004396833,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-03,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-07,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-12,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-26,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-28,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-29,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-30,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-13,2025,04,0.0257764306,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-26,2025,04,0.0280182674,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-03,2025,05,2.4600056979,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-05,2025,05,0.2741275282,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-09,2025,05,0.5829665592,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-22,2025,05,2.913388295,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-24,2025,05,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-25,2025,05,4.7241931711,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-02,2025,06,0.7261430437,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-04,2025,06,0.014580152,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-09,2025,06,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-10,2025,06,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-11,2025,06,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-22,2025,06,1.2666283384,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-26,2025,06,2.1328978118,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-27,2025,06,0.4106676934,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-02,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-05,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-08,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-22,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-24,2025,01,0.239430789,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-27,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-29,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-31,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-07,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-28,2025,02,0.001105197,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-16,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-17,2025,03,0.1384684338,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-21,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-24,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-08,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-21,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-26,2025,04,0.0280182674,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-07,2025,05,0.0114056433,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-08,2025,05,0.545048231,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-10,2025,05,0.0582569078,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-19,2025,05,0.0073950223,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-23,2025,05,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-10,2025,06,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-12,2025,06,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-17,2025,06,0.1606754857,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-23,2025,06,9.7333414198,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-24,2025,06,2.8921548489,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-28,2025,06,4.8293099508,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-04,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-05,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-09,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-13,2025,01,5.57617e-05,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-17,2025,01,0.1139847949,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-19,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-23,2025,01,0.2334271872,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-31,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-01,2025,03,-4.9811e-06,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-02,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-05,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-10,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-11,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-25,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-16,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-22,2025,02,1.12e-08,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-24,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-25,2025,02,0.0019518204,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-01,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-02,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-03,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-14,2025,04,6.27886e-05,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-17,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-18,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-24,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-30,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-10,2025,05,0.0582569078,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-19,2025,05,0.0073950223,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-07,2025,06,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-14,2025,06,1.7947185726,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-15,2025,06,0.8370789033,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-18,2025,06,15.7391499204,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-01,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-03,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-06,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-09,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-12,2025,01,4.9815738644,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-15,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-16,2025,01,4.9799244152,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-19,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-20,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-25,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-26,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-28,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-13,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-14,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-16,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-08,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-09,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-19,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-22,2025,03,4.981e-07,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-26,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-27,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-28,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-30,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-04,2025,04,0.108022366,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-09,2025,04,0.0155796425,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-20,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-28,2025,04,0.1044947619,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-01,2025,05,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-02,2025,05,10.5908261625,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-05,2025,05,0.2741275282,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-17,2025,05,0.1631546563,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-18,2025,05,1.2245493482,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-24,2025,05,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-25,2025,05,4.7241931711,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-26,2025,05,0.2295906493,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-29,2025,05,0.0012236865,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-31,2025,05,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-01,2025,06,3.7661526605,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-02,2025,06,0.7261430437,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-09,2025,06,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-13,2025,06,0.0007973541,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-26,2025,06,2.1328978118,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-30,2025,06,20.4528395918,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-02,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-06,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-07,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-24,2025,01,0.239430789,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-25,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-01-26,2025,01,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-05,2025,02,0.122653712,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-08,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-09,2025,02,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-19,2025,02,0.2983116176,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-20,2025,02,0.3643927194,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-02-21,2025,02,0.2888219581,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-04,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-15,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-17,2025,03,0.1384684338,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-18,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-03-21,2025,03,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-04,2025,04,0.108022366,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-06,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-10,2025,04,1.3062346099,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-15,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-16,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-20,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-21,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-22,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-04-23,2025,04,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-01,2025,05,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-04,2025,05,0.1114274201,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-15,2025,05,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-16,2025,05,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-17,2025,05,0.1631546563,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-26,2025,05,0.2295906493,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-27,2025,05,0.25679388,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-05-31,2025,05,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-03,2025,06,0.0497883155,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-08,2025,06,0,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-16,2025,06,3.8256574213,NRSC VIC MODEL
Uttar Pradesh,Agra,2025-06-23,2025,06,9.7333414198,NRSC VIC MODEL
